# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
   0.3637817824   0.0602297436    2.6836172527   0.0000000000
   0.3818199709   0.0629699043    2.7974205986   0.0000000000
   0.4006685103   0.0658260403    2.9155909409   0.0000000000
   0.4203587867   0.0688025888    3.0382694128   0.0000000000
   0.4409231394   0.0719041298    3.1656004274   0.0000000000
   0.4623948789   0.0751353896    3.2977317082   0.0000000000
   0.4848083044   0.0785012435    3.4348143166   0.0000000000
   0.5081987223   0.0820067199    3.5770026804   0.0000000000
   0.5326024637   0.0856570032    3.7244546201   0.0000000000
   0.5580569023   0.0894574373    3.8773313745   0.0000000000
   0.5846004722   0.0934135289    4.0357976258   0.0000000000
   0.6122726858   0.0975309515    4.2000215229   0.0000000000
   0.6411141515   0.1018155482    4.3701747043   0.0000000000
   0.6711665912   0.1062733355    4.5464323199   0.0000000000
   0.7024728578   0.1109105070    4.7289730514   0.0000000000
   0.7350769533   0.1157334365    4.9179791322   0.0000000000
   0.7690240455   0.1207486821    5.1136363657   0.0000000000
   0.8043604858   0.1259629892    5.3161341429   0.0000000000
   0.8411338262   0.1313832946    5.5256654593   0.0000000000
   0.8793928367   0.1370167299    5.7424269300   0.0000000000
   0.9191875222   0.1428706250    5.9666188045   0.0000000000
   0.9605691394   0.1489525120    6.1984449798   0.0000000000
   1.0035902137   0.1552701286    6.4381130129   0.0000000000
   1.0483045559   0.1618314221    6.6858341325   0.0000000000
   1.0947672786   0.1686445526    6.9418232484   0.0000000000
   1.1430348129   0.1757178971    7.2062989620   0.0000000000
   1.1931649245   0.1830600531    7.4794835739   0.0000000000
   1.2452149103   0.1906798415    7.7615932531   0.0000000000
   1.2991175318   0.1985860767    8.0521699384   0.0000000000
   1.3546254369   0.2067865281    8.3497966040   0.0000000000
   1.4115213308   0.2152876058    8.6532390248   0.0000000000
   1.4696302947   0.2240946126    8.9615074457   0.0000000000
   1.5288122148   0.2332119641    9.2738114679   0.0000000000
   1.5889555745   0.2426433700    9.5895232695   0.0000000000
   1.6499723584   0.2523919803    9.9081475972   0.0000000000
   1.7117938662   0.2624605060   10.2292972650   0.0000000000
   1.7743672722   0.2728513161   10.5526731355   0.0000000000
   1.8376527943   0.2835665178   10.8780477547   0.0000000000
   1.9016213643   0.2946080210   11.2052519654   0.0000000000
   1.9662527081   0.3059775906   11.5341639527   0.0000000000
   2.0315337648   0.3176768900   11.8647002766   0.0000000000
   2.0974573823   0.3297075149   12.1968085286   0.0000000000
   2.1640212421   0.3420710216   12.5304613189   0.0000000000
   2.2312269718   0.3547689497   12.8656513510   0.0000000000
   2.2990794131   0.3678028395   13.2023873894   0.0000000000
   2.3675860177   0.3811742469   13.5406909588   0.0000000000
   2.4367563488   0.3948847544   13.8805936432   0.0000000000
   2.5066016698   0.4089359803   14.2221348784   0.0000000000
   2.5771346051   0.4233295855   14.5653601483   0.0000000000
   2.6483688611   0.4380672786   14.9103195153   0.0000000000
   2.7203189955   0.4531508203   15.2570664220   0.0000000000
   2.7930002285   0.4685820259   15.6056567196   0.0000000000
   2.8664282873   0.4843627674   15.9561478794   0.0000000000
   2.9406192785   0.5004949748   16.3085983568   0.0000000000
   3.0155895842   0.5169806368   16.6630670805   0.0000000000
   3.0913557769   0.5338218013   17.0196130432   0.0000000000
   3.1679345503   0.5510205749   17.3782949775   0.0000000000
   3.2453426639   0.5685791227   17.7391711002   0.0000000000
   3.3235968977   0.5864996677   18.1022989139   0.0000000000
   3.4027140167   0.6047844900   18.4677350540   0.0000000000
   3.4827107422   0.6234359258   18.8355351745   0.0000000000
   3.5636037298   0.6424563665   19.2057538644   0.0000000000
   3.6454095521   0.6618482576   19.5784445893   0.0000000000
   3.7281446861   0.6816140972   19.9536596529   0.0000000000
   3.8118255037   0.7017564354   20.3314501758   0.0000000000
   3.8964682647   0.7222778727   20.7118660869   0.0000000000
   3.9820891132   0.7431810589   21.0949561256   0.0000000000
   4.0687040747   0.7644686921   21.4807678526   0.0000000000
   4.1563290553   0.7861435173   21.8693476666   0.0000000000
