  0.25  0.658203593  0.860608581  0.367132407
  0.75  0.748843663  0.748843663 -0.057890308
  1.25  0.792596625  1.16582758  0.781164943
  1.75  0.889556724  0.98462848  0.696654546
  2.25  0.91504491  1.03046859  0.874383902
  2.75  0.957583548  1.10000015  0.910205532
  3.25  0.985163205  1.01580038  0.858021651
  3.75  0.992926614  1.14781349  0.974274957
  4.25  1.02058489  1.05581677  0.939967015
  4.75  1.02900259  1.08444916  0.98498494
  5.25  1.0313681  1.03709968  0.926581551
  5.75  1.01750292  1.10825216  1.00198981
  6.25  1.05334539  1.11080753  1.02361793
  6.75  1.05253407  1.09922192  1.0308146
  7.25  1.03987904  1.07889602  1.02046071
  7.75  1.01635021  1.19440283  1.01635021
  8.25  1.02408759  1.06253369  0.981862087
  8.75  1.02341804  1.02824881  0.984423329
  9.25  1.01925631  1.02883281  0.984283681
  9.75  1.0543971  1.07814288  0.985101562
  10.25  1.01332715  1.09690181  1.01332715
  10.75  1.02423042  1.14926608  1.01482272
  11.25  1.01461134  1.05984601  0.980977743
  11.75  0.993470375  1.04218857  0.965117516
  12.25  1.01258055  1.01595581  0.929516835
  12.75  0.988461538  1.03573482  0.936849937
  13.25  0.999515034  1.0755728  0.976465112
  13.75  0.99007589  1.01210503  0.932634469
  14.25  1.00359971  1.04883593  0.940910957
  14.75  0.977973568  1.10665017  0.940812164
  15.25  0.993348353  1.01859218  0.902171442
  15.75  0.977004193  0.989223341  0.869007152
  16.25  0.980964467  1.18200649  0.980964467
  16.75  0.949660114  1.12781317  0.923904907
  17.25  0.977075451  1.11025193  0.945586146
  17.75  0.998383185  1.03519409  0.873207008
  18.25  1.03582752  1.04629042  0.733123412
  18.75  0.950661423  1.10365704  0.875609076
  19.25  0.931483817  1.11395554  0.902480034
  19.75  0.981900452  1.04768781  0.868598545
