   61.000999999999998     
  0.50000000000000000              501
   0.6335755615   0.0000000000   0.0000000000
   0.6333235024   0.0000000000   0.0000000000
   0.6330711399   0.0000000000   0.0000000000
   0.6328184728   0.0000000000   0.0000000000
   0.6325655006   0.0000000000   0.0000000000
   0.6323122222   0.0000000000   0.0000000000
   0.6320586370   0.0000000000   0.0000000000
   0.6318047438   0.0000000000   0.0000000000
   0.6315505419   0.0000000000   0.0000000000
   0.6312960304   0.0000000000   0.0000000000
   0.6310412086   0.0000000000   0.0000000000
   0.6307860754   0.0000000000   0.0000000000
   0.6305306299   0.0000000000   0.0000000000
   0.6302748711   0.0000000000   0.0000000000
   0.6300187985   0.0000000000   0.0000000000
   0.6297624106   0.0000000000   0.0000000000
   0.6295057071   0.0000000000   0.0000000000
   0.6292486869   0.0000000000   0.0000000000
   0.6289913489   0.0000000000   0.0000000000
   0.6287336923   0.0000000000   0.0000000000
   0.6284757162   0.0000000000   0.0000000000
   0.6282174198   0.0000000000   0.0000000000
   0.6279588018   0.0000000000   0.0000000000
   0.6276998616   0.0000000000   0.0000000000
   0.6274405981   0.0000000000   0.0000000000
   0.6271810104   0.0000000000   0.0000000000
   0.6269210978   0.0000000000   0.0000000000
   0.6266608588   0.0000000000   0.0000000000
   0.6264002926   0.0000000000   0.0000000000
   0.6261393986   0.0000000000   0.0000000000
   0.6258781756   0.0000000000   0.0000000000
   0.6256166227   0.0000000000   0.0000000000
   0.6253547390   0.0000000000   0.0000000000
   0.6250925232   0.0000000000   0.0000000000
   0.6248299746   0.0000000000   0.0000000000
   0.6245670919   0.0000000000   0.0000000000
   0.6243038745   0.0000000000   0.0000000000
   0.6240403212   0.0000000000   0.0000000000
   0.6237764309   0.0000000000   0.0000000000
   0.6235122029   0.0000000000   0.0000000000
   0.6232476361   0.0000000000   0.0000000000
   0.6229827292   0.0000000000   0.0000000000
   0.6227174814   0.0000000000   0.0000000000
   0.6224518914   0.0000000000   0.0000000000
   0.6221859587   0.0000000000   0.0000000000
   0.6219196818   0.0000000000   0.0000000000
   0.6216530601   0.0000000000   0.0000000000
   0.6213860921   0.0000000000   0.0000000000
   0.6211187769   0.0000000000   0.0000000000
   0.6208511136   0.0000000000   0.0000000000
   0.6205831007   0.0000000000   0.0000000000
   0.6203147377   0.0000000000   0.0000000000
   0.6200460233   0.0000000000   0.0000000000
   0.6197769563   0.0000000000   0.0000000000
   0.6195075358   0.0000000000   0.0000000000
   0.6192377604   0.0000000000   0.0000000000
   0.6189676295   0.0000000000   0.0000000000
   0.6186971418   0.0000000000   0.0000000000
   0.6184262959   0.0000000000   0.0000000000
   0.6181550909   0.0000000000   0.0000000000
   0.6178835259   0.0000000000   0.0000000000
   0.6176115997   0.0000000000   0.0000000000
   0.6173393108   0.0000000000   0.0000000000
   0.6170666583   0.0000000000   0.0000000000
   0.6167936413   0.0000000000   0.0000000000
   0.6165202583   0.0000000000   0.0000000000
   0.6162465085   0.0000000000   0.0000000000
   0.6159723903   0.0000000000   0.0000000000
   0.6156979032   0.0000000000   0.0000000000
   0.6154230453   0.0000000000   0.0000000000
   0.6151478158   0.0000000000   0.0000000000
   0.6148722134   0.0000000000   0.0000000000
   0.6145962374   0.0000000000   0.0000000000
   0.6143198858   0.0000000000   0.0000000000
   0.6140431581   0.0000000000   0.0000000000
   0.6137660525   0.0000000000   0.0000000000
   0.6134885685   0.0000000000   0.0000000000
   0.6132107044   0.0000000000   0.0000000000
   0.6129324589   0.0000000000   0.0000000000
   0.6126538314   0.0000000000   0.0000000000
   0.6123748199   0.0000000000   0.0000000000
   0.6120954235   0.0000000000   0.0000000000
   0.6118156410   0.0000000000   0.0000000000
   0.6115354712   0.0000000000   0.0000000000
   0.6112549127   0.0000000000   0.0000000000
   0.6109739642   0.0000000000   0.0000000000
   0.6106926246   0.0000000000   0.0000000000
   0.6104108925   0.0000000000   0.0000000000
   0.6101287667   0.0000000000   0.0000000000
   0.6098462461   0.0000000000   0.0000000000
   0.6095633290   0.0000000000   0.0000000000
   0.6092800142   0.0000000000   0.0000000000
   0.6089963005   0.0000000000   0.0000000000
   0.6087121866   0.0000000000   0.0000000000
   0.6084276713   0.0000000000   0.0000000000
   0.6081427531   0.0000000000   0.0000000000
   0.6078574304   0.0000000000   0.0000000000
   0.6075717024   0.0000000000   0.0000000000
   0.6072855673   0.0000000000   0.0000000000
   0.6069990243   0.0000000000   0.0000000000
   0.6067120714   0.0000000000   0.0000000000
   0.6064247073   0.0000000000   0.0000000000
   0.6061369310   0.0000000000   0.0000000000
   0.6058487411   0.0000000000   0.0000000000
   0.6055601360   0.0000000000   0.0000000000
   0.6052711142   0.0000000000   0.0000000000
   0.6049816744   0.0000000000   0.0000000000
   0.6046918152   0.0000000000   0.0000000000
   0.6044015355   0.0000000000   0.0000000000
   0.6041108332   0.0000000000   0.0000000000
   0.6038197075   0.0000000000   0.0000000000
   0.6035281567   0.0000000000   0.0000000000
   0.6032361792   0.0000000000   0.0000000000
   0.6029437737   0.0000000000   0.0000000000
   0.6026509388   0.0000000000   0.0000000000
   0.6023576726   0.0000000000   0.0000000000
   0.6020639743   0.0000000000   0.0000000000
   0.6017698417   0.0000000000   0.0000000000
   0.6014752741   0.0000000000   0.0000000000
