   11.000999999999999     
  0.10000000000000001              501
   0.3966904095   0.0000000000   0.0000000000
   0.3964814532   0.0000000000   0.0000000000
   0.3962721598   0.0000000000   0.0000000000
   0.3960625282   0.0000000000   0.0000000000
   0.3958525571   0.0000000000   0.0000000000
   0.3956422451   0.0000000000   0.0000000000
   0.3954315909   0.0000000000   0.0000000000
   0.3952205935   0.0000000000   0.0000000000
   0.3950092511   0.0000000000   0.0000000000
   0.3947975628   0.0000000000   0.0000000000
   0.3945855269   0.0000000000   0.0000000000
   0.3943731424   0.0000000000   0.0000000000
   0.3941604078   0.0000000000   0.0000000000
   0.3939473217   0.0000000000   0.0000000000
   0.3937338829   0.0000000000   0.0000000000
   0.3935200900   0.0000000000   0.0000000000
   0.3933059413   0.0000000000   0.0000000000
   0.3930914359   0.0000000000   0.0000000000
   0.3928765721   0.0000000000   0.0000000000
   0.3926613486   0.0000000000   0.0000000000
   0.3924457639   0.0000000000   0.0000000000
   0.3922298167   0.0000000000   0.0000000000
   0.3920135055   0.0000000000   0.0000000000
   0.3917968291   0.0000000000   0.0000000000
   0.3915797856   0.0000000000   0.0000000000
   0.3913623738   0.0000000000   0.0000000000
   0.3911445923   0.0000000000   0.0000000000
   0.3909264394   0.0000000000   0.0000000000
   0.3907079139   0.0000000000   0.0000000000
   0.3904890142   0.0000000000   0.0000000000
   0.3902697387   0.0000000000   0.0000000000
   0.3900500859   0.0000000000   0.0000000000
   0.3898300545   0.0000000000   0.0000000000
   0.3896096426   0.0000000000   0.0000000000
   0.3893888490   0.0000000000   0.0000000000
   0.3891676719   0.0000000000   0.0000000000
   0.3889461100   0.0000000000   0.0000000000
   0.3887241615   0.0000000000   0.0000000000
   0.3885018249   0.0000000000   0.0000000000
   0.3882790987   0.0000000000   0.0000000000
   0.3880559811   0.0000000000   0.0000000000
   0.3878324707   0.0000000000   0.0000000000
   0.3876085657   0.0000000000   0.0000000000
   0.3873842646   0.0000000000   0.0000000000
   0.3871595657   0.0000000000   0.0000000000
   0.3869344674   0.0000000000   0.0000000000
   0.3867089678   0.0000000000   0.0000000000
   0.3864830656   0.0000000000   0.0000000000
   0.3862567590   0.0000000000   0.0000000000
   0.3860300462   0.0000000000   0.0000000000
   0.3858029254   0.0000000000   0.0000000000
   0.3855753950   0.0000000000   0.0000000000
